prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
0.42,0.9616317530319736,0.9437286556969884,0.9737520016709601,0.7824701195219124,0.7618008406078242,0.8031820860341781,0.2721,0.28726,0.25768,0.03836824696802643,0.0262479983290399,0.05627134430301162,0.21752988047808763,0.19681791396582193,0.23819915939217584
0.425,0.9623807360290776,0.9448070646957188,0.9742707168057826,0.7789618899810312,0.7580623352038401,0.7999224778885795,0.275125,0.29052500000000003,0.26045,0.03761926397092241,0.02572928319421741,0.055192935304281154,0.22103811001896878,0.2000775221114205,0.24193766479615986
0.43,0.9631134280064714,0.945862776384773,0.9747779025834779,0.7754242571171296,0.7542957192106192,0.7966327296413248,0.27815,0.29379000000000005,0.26322,0.03688657199352863,0.02522209741652215,0.05413722361522699,0.2245757428828704,0.2033672703586752,0.24570428078938078
0.435,0.9638303547612697,0.9468964998684161,0.9752739391695141,0.7718568497200292,0.7505006743777332,0.7933124213131895,0.281175,0.297055,0.26599,0.03616964523873034,0.024726060830485896,0.053103500131583936,0.22814315027997079,0.20668757868681054,0.24949932562226684
0.44,0.9645320197044334,0.9479089150171156,0.9757591901971231,0.7682592903045543,0.7466768776325146,0.7899611250857536,0.2842,0.30032000000000003,0.26876,0.03546798029556664,0.024240809802876906,0.052091084982884395,0.2317407096954457,0.21003887491424644,0.25332312236748544
0.445,0.9652189050396031,0.9489006739586785,0.9762340036563071,0.7646311949773771,0.7428240009883729,0.7865784051176381,0.287225,0.30358500000000005,0.27153,0.03478109496039694,0.02376599634369292,0.0510993260413215,0.23536880502262292,0.2134215948823619,0.25717599901162713
0.45,0.965891472868217,0.9498724024790374,0.9766987127260877,0.760972173300458,0.7389417114510128,0.7831638173555507,0.29025,0.30685,0.27430000000000004,0.03410852713178303,0.02330128727391234,0.05012759752096263,0.23902782669954203,0.21683618264444926,0.26105828854898716
0.455,0.9665501662262382,0.9508247013390118,0.9771536365541815,0.7572818281509781,0.7350296709224959,0.7797169093399625,0.293275,0.31011500000000003,0.27707,0.03344983377376176,0.022846363445818474,0.04917529866098824,0.2427181718490219,0.22028309066003748,0.26497032907750406
0.46,0.9671954100573743,0.9517581475128645,0.9775990809879379,0.7535597555776609,0.7310875361030882,0.7762372200052431,0.2963,0.31338000000000005,0.27984,0.032804589942625695,0.022400919012062093,0.04824185248713553,0.24644024442233914,0.2237627799947569,0.2689124638969118
0.465,0.9678276121272863,0.9526732953540213,0.9780353392600547,0.7498055446533699,0.7271149583908333,0.7727242794740653,0.29932500000000006,0.316645,0.28261000000000003,0.032172387872713704,0.021964660739945296,0.04732670464597866,0.2501944553466301,0.2272757205259347,0.2728850416091667
